genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
Lin_et_al_HG_Omasum-8.metabat2.034.contigs.fa,42_1,0.050000000000000044,average,fastANI,42
Lin_et_al_HG_Reticulum-8.metabat2.077.contigs.fa,42_1,0.050000000000000044,average,fastANI,42
Lin_et_al_HG_Rumen-8.metabat2.131.contigs.fa,42_1,0.050000000000000044,average,fastANI,42
Lin_et_al_HG_Rumen-7.metabat2.014.contigs.fa,42_2,0.050000000000000044,average,fastANI,42
Xie_et_al_GCA_017541245.1_ASM1754124v1.fna,43_0,0.050000000000000044,average,fastANI,43
Lin_et_al_HG_Abomasum-9.concoct.049_sub.contigs.fa,44_1,0.050000000000000044,average,fastANI,44
Lin_et_al_HG_Omasum-9.metabat2.064.contigs.fa,44_2,0.050000000000000044,average,fastANI,44
Xie_et_al_GCA_017619775.1_ASM1761977v1.fna,45_1,0.050000000000000044,average,fastANI,45
Xie_et_al_GCA_017964115.1_ASM1796411v1.fna,45_1,0.050000000000000044,average,fastANI,45
Xie_et_al_GCA_017457925.1_ASM1745792v1.fna,46_0,0.050000000000000044,average,fastANI,46
Xie_et_al_GCA_017540545.1_ASM1754054v1.fna,47_0,0.050000000000000044,average,fastANI,47
Xie_et_al_GCA_017382395.1_ASM1738239v1.fna,48_0,0.050000000000000044,average,fastANI,48
Xie_et_al_GCA_017404795.1_ASM1740479v1.fna,49_0,0.050000000000000044,average,fastANI,49
Xie_et_al_GCA_017514025.1_ASM1751402v1.fna,50_0,0.050000000000000044,average,fastANI,50
Xie_et_al_GCA_017510985.1_ASM1751098v1.fna,51_0,0.050000000000000044,average,fastANI,51
Lin_et_al_HG_Jejunum-12.metabat2.050.contigs.fa,52_1,0.050000000000000044,average,fastANI,52
Xie_et_al_GCA_017512085.1_ASM1751208v1.fna,52_2,0.050000000000000044,average,fastANI,52
Xie_et_al_GCA_017515265.1_ASM1751526v1.fna,53_0,0.050000000000000044,average,fastANI,53
Xie_et_al_GCA_017404155.1_ASM1740415v1.fna,54_0,0.050000000000000044,average,fastANI,54
Xie_et_al_GCA_017512225.1_ASM1751222v1.fna,55_0,0.050000000000000044,average,fastANI,55
Xie_et_al_GCA_017404935.1_ASM1740493v1.fna,56_1,0.050000000000000044,average,fastANI,56
Xie_et_al_GCA_017432105.1_ASM1743210v1.fna,56_1,0.050000000000000044,average,fastANI,56
Xie_et_al_GCA_017510925.1_ASM1751092v1.fna,57_0,0.050000000000000044,average,fastANI,57
Xie_et_al_GCA_017433485.1_ASM1743348v1.fna,58_0,0.050000000000000044,average,fastANI,58
Xie_et_al_GCA_017460625.1_ASM1746062v1.fna,59_0,0.050000000000000044,average,fastANI,59
Xie_et_al_GCA_017404925.1_ASM1740492v1.fna,60_0,0.050000000000000044,average,fastANI,60
Xie_et_al_GCA_017404855.1_ASM1740485v1.fna,61_1,0.050000000000000044,average,fastANI,61
Xie_et_al_GCA_017432225.1_ASM1743222v1.fna,61_1,0.050000000000000044,average,fastANI,61
Xie_et_al_GCA_017514125.1_ASM1751412v1.fna,62_0,0.050000000000000044,average,fastANI,62
Xie_et_al_GCA_017545585.1_ASM1754558v1.fna,63_0,0.050000000000000044,average,fastANI,63
Xie_et_al_GCA_017652105.1_ASM1765210v1.fna,64_0,0.050000000000000044,average,fastANI,64
Xie_et_al_GCA_017514865.1_ASM1751486v1.fna,65_0,0.050000000000000044,average,fastANI,65
Xie_et_al_GCA_017510905.1_ASM1751090v1.fna,66_0,0.050000000000000044,average,fastANI,66
Xie_et_al_GCA_017545485.1_ASM1754548v1.fna,67_0,0.050000000000000044,average,fastANI,67
Xie_et_al_GCA_017510665.1_ASM1751066v1.fna,68_0,0.050000000000000044,average,fastANI,68
Xie_et_al_GCA_017506895.1_ASM1750689v1.fna,69_1,0.050000000000000044,average,fastANI,69
Xie_et_al_GCA_017514725.1_ASM1751472v1.fna,69_2,0.050000000000000044,average,fastANI,69
Xie_et_al_GCA_017404625.1_ASM1740462v1.fna,70_1,0.050000000000000044,average,fastANI,70
Xie_et_al_GCA_017432505.1_ASM1743250v1.fna,70_1,0.050000000000000044,average,fastANI,70
Xie_et_al_GCA_017941835.1_ASM1794183v1.fna,70_1,0.050000000000000044,average,fastANI,70
Xie_et_al_GCA_017455145.1_ASM1745514v1.fna,71_1,0.050000000000000044,average,fastANI,71
Xie_et_al_GCA_017652765.1_ASM1765276v1.fna,71_2,0.050000000000000044,average,fastANI,71
Xie_et_al_GCA_017432435.1_ASM1743243v1.fna,72_0,0.050000000000000044,average,fastANI,72
Xie_et_al_GCA_017557805.1_ASM1755780v1.fna,73_0,0.050000000000000044,average,fastANI,73
Xie_et_al_GCA_017652565.1_ASM1765256v1.fna,74_0,0.050000000000000044,average,fastANI,74
Xie_et_al_GCA_017404955.1_ASM1740495v1.fna,75_0,0.050000000000000044,average,fastANI,75
Xie_et_al_GCA_017460145.1_ASM1746014v1.fna,76_0,0.050000000000000044,average,fastANI,76
Xie_et_al_GCA_017404515.1_ASM1740451v1.fna,77_1,0.050000000000000044,average,fastANI,77
Xie_et_al_GCA_017550505.1_ASM1755050v1.fna,77_1,0.050000000000000044,average,fastANI,77
Xie_et_al_GCA_017405245.1_ASM1740524v1.fna,78_0,0.050000000000000044,average,fastANI,78
Wilkinson_et_al_ERZ1461982_contig.fa,79_1,0.050000000000000044,average,fastANI,79
Wilkinson_et_al_ERZ1462066_contig.fa,79_1,0.050000000000000044,average,fastANI,79
Wilkinson_et_al_ERZ1462422_contig.fa,79_1,0.050000000000000044,average,fastANI,79
Xie_et_al_GCA_017515925.1_ASM1751592v1.fna,79_2,0.050000000000000044,average,fastANI,79
Xie_et_al_GCA_017405225.1_ASM1740522v1.fna,80_0,0.050000000000000044,average,fastANI,80
Xie_et_al_GCA_017510845.1_ASM1751084v1.fna,81_1,0.050000000000000044,average,fastANI,81
Xie_et_al_GCA_017512045.1_ASM1751204v1.fna,81_1,0.050000000000000044,average,fastANI,81
Xie_et_al_GCA_017958715.1_ASM1795871v1.fna,81_1,0.050000000000000044,average,fastANI,81
Xie_et_al_GCA_017512175.1_ASM1751217v1.fna,82_0,0.050000000000000044,average,fastANI,82
Xie_et_al_GCA_017404685.1_ASM1740468v1.fna,83_1,0.050000000000000044,average,fastANI,83
Xie_et_al_GCA_017407105.1_ASM1740710v1.fna,83_1,0.050000000000000044,average,fastANI,83
Xie_et_al_GCA_017433465.1_ASM1743346v1.fna,84_0,0.050000000000000044,average,fastANI,84
Xie_et_al_GCA_017460225.1_ASM1746022v1.fna,85_0,0.050000000000000044,average,fastANI,85
Xie_et_al_GCA_017406375.1_ASM1740637v1.fna,86_0,0.050000000000000044,average,fastANI,86
Xie_et_al_GCA_017432425.1_ASM1743242v1.fna,87_1,0.050000000000000044,average,fastANI,87
Xie_et_al_GCA_017434485.1_ASM1743448v1.fna,87_1,0.050000000000000044,average,fastANI,87
Xie_et_al_GCA_017406645.1_ASM1740664v1.fna,87_2,0.050000000000000044,average,fastANI,87
Xie_et_al_GCA_017403895.1_ASM1740389v1.fna,88_0,0.050000000000000044,average,fastANI,88
Xie_et_al_GCA_017432365.1_ASM1743236v1.fna,89_0,0.050000000000000044,average,fastANI,89
Xie_et_al_GCA_017514045.1_ASM1751404v1.fna,90_0,0.050000000000000044,average,fastANI,90
Xie_et_al_GCA_017552385.1_ASM1755238v1.fna,91_0,0.050000000000000044,average,fastANI,91
Xie_et_al_GCA_017513905.1_ASM1751390v1.fna,92_0,0.050000000000000044,average,fastANI,92
Xie_et_al_GCA_017418355.1_ASM1741835v1.fna,93_0,0.050000000000000044,average,fastANI,93
Xie_et_al_GCA_017514215.1_ASM1751421v1.fna,94_0,0.050000000000000044,average,fastANI,94
Xie_et_al_GCA_017404905.1_ASM1740490v1.fna,95_0,0.050000000000000044,average,fastANI,95
Xie_et_al_GCA_017404845.1_ASM1740484v1.fna,96_0,0.050000000000000044,average,fastANI,96
Xie_et_al_GCA_017407005.1_ASM1740700v1.fna,97_0,0.050000000000000044,average,fastANI,97
Xie_et_al_GCA_017512095.1_ASM1751209v1.fna,98_0,0.050000000000000044,average,fastANI,98
Xie_et_al_GCA_017515285.1_ASM1751528v1.fna,99_0,0.050000000000000044,average,fastANI,99
Xie_et_al_GCA_017510735.1_ASM1751073v1.fna,100_0,0.050000000000000044,average,fastANI,100
Xie_et_al_GCA_017513185.1_ASM1751318v1.fna,101_1,0.050000000000000044,average,fastANI,101
Xie_et_al_GCA_017541625.1_ASM1754162v1.fna,101_2,0.050000000000000044,average,fastANI,101
Xie_et_al_GCA_017511835.1_ASM1751183v1.fna,102_0,0.050000000000000044,average,fastANI,102
Xie_et_al_GCA_017512235.1_ASM1751223v1.fna,103_0,0.050000000000000044,average,fastANI,103
Xie_et_al_GCA_017510485.1_ASM1751048v1.fna,104_0,0.050000000000000044,average,fastANI,104
Xie_et_al_GCA_017404725.1_ASM1740472v1.fna,105_0,0.050000000000000044,average,fastANI,105
Xie_et_al_GCA_017431465.1_ASM1743146v1.fna,106_0,0.050000000000000044,average,fastANI,106
Xie_et_al_GCA_017405345.1_ASM1740534v1.fna,107_0,0.050000000000000044,average,fastANI,107
Xie_et_al_GCA_017545705.1_ASM1754570v1.fna,108_0,0.050000000000000044,average,fastANI,108
Xie_et_al_GCA_017459845.1_ASM1745984v1.fna,109_0,0.050000000000000044,average,fastANI,109
Xie_et_al_GCA_017460045.1_ASM1746004v1.fna,110_1,0.050000000000000044,average,fastANI,110
Xie_et_al_GCA_017460305.1_ASM1746030v1.fna,110_1,0.050000000000000044,average,fastANI,110
Xie_et_al_GCA_017404405.1_ASM1740440v1.fna,111_0,0.050000000000000044,average,fastANI,111
Xie_et_al_GCA_017406285.1_ASM1740628v1.fna,112_0,0.050000000000000044,average,fastANI,112
Xie_et_al_GCA_017436665.1_ASM1743666v1.fna,113_1,0.050000000000000044,average,fastANI,113
Xie_et_al_GCA_017509895.1_ASM1750989v1.fna,113_2,0.050000000000000044,average,fastANI,113
Xie_et_al_GCA_017407085.1_ASM1740708v1.fna,114_0,0.050000000000000044,average,fastANI,114
Xie_et_al_GCA_017519305.1_ASM1751930v1.fna,115_0,0.050000000000000044,average,fastANI,115
Xie_et_al_GCA_017542195.1_ASM1754219v1.fna,116_0,0.050000000000000044,average,fastANI,116
Xie_et_al_GCA_017431955.1_ASM1743195v1.fna,117_0,0.050000000000000044,average,fastANI,117
Xie_et_al_GCA_017510445.1_ASM1751044v1.fna,118_0,0.050000000000000044,average,fastANI,118
Lin_et_al_HF_Omasum-6.metabat2.100.contigs.fa,119_1,0.050000000000000044,average,fastANI,119
Xie_et_al_GCA_017561835.1_ASM1756183v1.fna,119_1,0.050000000000000044,average,fastANI,119
Lin_et_al_HF_Reticulum-6.concoct.065.contigs.fa,119_2,0.050000000000000044,average,fastANI,119
Xie_et_al_GCA_017651125.1_ASM1765112v1.fna,120_0,0.050000000000000044,average,fastANI,120
Xie_et_al_GCA_017556795.1_ASM1755679v1.fna,121_0,0.050000000000000044,average,fastANI,121
Xie_et_al_GCA_017652245.1_ASM1765224v1.fna,122_0,0.050000000000000044,average,fastANI,122
Wilkinson_et_al_ERZ1461846_contig.fa,123_0,0.050000000000000044,average,fastANI,123
Xie_et_al_GCA_017429465.1_ASM1742946v1.fna,124_0,0.050000000000000044,average,fastANI,124
Xie_et_al_GCA_017482785.1_ASM1748278v1.fna,125_0,0.050000000000000044,average,fastANI,125
Xie_et_al_GCA_017430875.1_ASM1743087v1.fna,126_1,0.050000000000000044,average,fastANI,126
Xie_et_al_GCA_017480095.1_ASM1748009v1.fna,126_1,0.050000000000000044,average,fastANI,126
Xie_et_al_GCA_017510425.1_ASM1751042v1.fna,127_0,0.050000000000000044,average,fastANI,127
Xie_et_al_GCA_017652715.1_ASM1765271v1.fna,128_0,0.050000000000000044,average,fastANI,128
Xie_et_al_GCA_017511845.1_ASM1751184v1.fna,129_1,0.050000000000000044,average,fastANI,129
Xie_et_al_GCA_017515205.1_ASM1751520v1.fna,129_1,0.050000000000000044,average,fastANI,129
Xie_et_al_GCA_017534085.1_ASM1753408v1.fna,130_0,0.050000000000000044,average,fastANI,130
Xie_et_al_GCA_017545525.1_ASM1754552v1.fna,131_0,0.050000000000000044,average,fastANI,131
Xie_et_al_GCA_017514915.1_ASM1751491v1.fna,132_0,0.050000000000000044,average,fastANI,132
Xie_et_al_GCA_017406365.1_ASM1740636v1.fna,133_0,0.050000000000000044,average,fastANI,133
Xie_et_al_GCA_017433245.1_ASM1743324v1.fna,134_0,0.050000000000000044,average,fastANI,134
Xie_et_al_GCA_017406265.1_ASM1740626v1.fna,135_0,0.050000000000000044,average,fastANI,135
Xie_et_al_GCA_017516075.1_ASM1751607v1.fna,136_0,0.050000000000000044,average,fastANI,136
Xie_et_al_GCA_017514765.1_ASM1751476v1.fna,137_0,0.050000000000000044,average,fastANI,137
Xie_et_al_GCA_017405025.1_ASM1740502v1.fna,138_0,0.050000000000000044,average,fastANI,138
Xie_et_al_GCA_017406245.1_ASM1740624v1.fna,139_0,0.050000000000000044,average,fastANI,139
Xie_et_al_GCA_017453925.1_ASM1745392v1.fna,140_0,0.050000000000000044,average,fastANI,140
Xie_et_al_GCA_017514675.1_ASM1751467v1.fna,141_0,0.050000000000000044,average,fastANI,141
Xie_et_al_GCA_017552075.1_ASM1755207v1.fna,142_0,0.050000000000000044,average,fastANI,142
Xie_et_al_GCA_017404485.1_ASM1740448v1.fna,143_1,0.050000000000000044,average,fastANI,143
Xie_et_al_GCA_017433185.1_ASM1743318v1.fna,143_2,0.050000000000000044,average,fastANI,143
Xie_et_al_GCA_017514065.1_ASM1751406v1.fna,144_0,0.050000000000000044,average,fastANI,144
Xie_et_al_GCA_017404325.1_ASM1740432v1.fna,145_0,0.050000000000000044,average,fastANI,145
Xie_et_al_GCA_017645955.1_ASM1764595v1.fna,146_0,0.050000000000000044,average,fastANI,146
Xie_et_al_GCA_017404285.1_ASM1740428v1.fna,147_1,0.050000000000000044,average,fastANI,147
Xie_et_al_GCA_017406775.1_ASM1740677v1.fna,147_1,0.050000000000000044,average,fastANI,147
Xie_et_al_GCA_017431745.1_ASM1743174v1.fna,148_0,0.050000000000000044,average,fastANI,148
Xie_et_al_GCA_017406565.1_ASM1740656v1.fna,149_0,0.050000000000000044,average,fastANI,149
Xie_et_al_GCA_017964025.1_ASM1796402v1.fna,150_0,0.050000000000000044,average,fastANI,150
Wilkinson_et_al_ERZ1461996_contig.fa,151_0,0.050000000000000044,average,fastANI,151
Xie_et_al_GCA_017514055.1_ASM1751405v1.fna,152_0,0.050000000000000044,average,fastANI,152
Xie_et_al_GCA_017514905.1_ASM1751490v1.fna,153_0,0.050000000000000044,average,fastANI,153
Xie_et_al_GCA_017536895.1_ASM1753689v1.fna,154_0,0.050000000000000044,average,fastANI,154
Xie_et_al_GCA_017511205.1_ASM1751120v1.fna,155_0,0.050000000000000044,average,fastANI,155
Stewart_et_al_GCA_902761145.1_RUG10634.fna,156_1,0.050000000000000044,average,fastANI,156
Stewart_et_al_GCA_902769085.1_RUG11443.fna,156_1,0.050000000000000044,average,fastANI,156
Xie_et_al_GCA_017420185.1_ASM1742018v1.fna,157_0,0.050000000000000044,average,fastANI,157
Xie_et_al_GCA_017406595.1_ASM1740659v1.fna,158_0,0.050000000000000044,average,fastANI,158
Xie_et_al_GCA_017431065.1_ASM1743106v1.fna,159_0,0.050000000000000044,average,fastANI,159
Xie_et_al_GCA_017510075.1_ASM1751007v1.fna,160_0,0.050000000000000044,average,fastANI,160
Xie_et_al_GCA_017406745.1_ASM1740674v1.fna,161_0,0.050000000000000044,average,fastANI,161
Xie_et_al_GCA_017433855.1_ASM1743385v1.fna,162_0,0.050000000000000044,average,fastANI,162
Xie_et_al_GCA_017511155.1_ASM1751115v1.fna,163_0,0.050000000000000044,average,fastANI,163
Xie_et_al_GCA_017406225.1_ASM1740622v1.fna,164_1,0.050000000000000044,average,fastANI,164
Xie_et_al_GCA_017510025.1_ASM1751002v1.fna,164_2,0.050000000000000044,average,fastANI,164
Xie_et_al_GCA_017405005.1_ASM1740500v1.fna,164_3,0.050000000000000044,average,fastANI,164
Xie_et_al_GCA_017459765.1_ASM1745976v1.fna,165_0,0.050000000000000044,average,fastANI,165
Xie_et_al_GCA_017459705.1_ASM1745970v1.fna,166_0,0.050000000000000044,average,fastANI,166
Xie_et_al_GCA_017431085.1_ASM1743108v1.fna,167_0,0.050000000000000044,average,fastANI,167
Xie_et_al_GCA_017512165.1_ASM1751216v1.fna,168_0,0.050000000000000044,average,fastANI,168
Xie_et_al_GCA_017431725.1_ASM1743172v1.fna,169_0,0.050000000000000044,average,fastANI,169
Xie_et_al_GCA_017447485.1_ASM1744748v1.fna,170_0,0.050000000000000044,average,fastANI,170
Wilkinson_et_al_ERZ1461869_contig.fa,171_0,0.050000000000000044,average,fastANI,171
Xie_et_al_GCA_017962365.1_ASM1796236v1.fna,172_0,0.050000000000000044,average,fastANI,172
Xie_et_al_GCA_017418425.1_ASM1741842v1.fna,173_1,0.050000000000000044,average,fastANI,173
Xie_et_al_GCA_017613135.1_ASM1761313v1.fna,173_1,0.050000000000000044,average,fastANI,173
Xie_et_al_GCA_017511865.1_ASM1751186v1.fna,174_0,0.050000000000000044,average,fastANI,174
Xie_et_al_GCA_017561575.1_ASM1756157v1.fna,175_0,0.050000000000000044,average,fastANI,175
Xie_et_al_GCA_017406905.1_ASM1740690v1.fna,176_0,0.050000000000000044,average,fastANI,176
Xie_et_al_GCA_017557865.1_ASM1755786v1.fna,177_0,0.050000000000000044,average,fastANI,177
Xie_et_al_GCA_017511905.1_ASM1751190v1.fna,178_0,0.050000000000000044,average,fastANI,178
Xie_et_al_GCA_017515105.1_ASM1751510v1.fna,179_1,0.050000000000000044,average,fastANI,179
Xie_et_al_GCA_017619315.1_ASM1761931v1.fna,179_2,0.050000000000000044,average,fastANI,179
Xie_et_al_GCA_017510705.1_ASM1751070v1.fna,180_1,0.050000000000000044,average,fastANI,180
Xie_et_al_GCA_017545765.1_ASM1754576v1.fna,180_1,0.050000000000000044,average,fastANI,180
Xie_et_al_GCA_017404335.1_ASM1740433v1.fna,181_0,0.050000000000000044,average,fastANI,181
Xie_et_al_GCA_017460105.1_ASM1746010v1.fna,182_0,0.050000000000000044,average,fastANI,182
Xie_et_al_GCA_017514105.1_ASM1751410v1.fna,183_0,0.050000000000000044,average,fastANI,183
Xie_et_al_GCA_017512925.1_ASM1751292v1.fna,184_0,0.050000000000000044,average,fastANI,184
Xie_et_al_GCA_017515785.1_ASM1751578v1.fna,185_0,0.050000000000000044,average,fastANI,185
Xie_et_al_GCA_017537745.1_ASM1753774v1.fna,186_0,0.050000000000000044,average,fastANI,186
Xie_et_al_GCA_017432025.1_ASM1743202v1.fna,187_1,0.050000000000000044,average,fastANI,187
Xie_et_al_GCA_017464135.1_ASM1746413v1.fna,187_2,0.050000000000000044,average,fastANI,187
Xie_et_al_GCA_017445625.1_ASM1744562v1.fna,188_0,0.050000000000000044,average,fastANI,188
Xie_et_al_GCA_017511645.1_ASM1751164v1.fna,189_0,0.050000000000000044,average,fastANI,189
Xie_et_al_GCA_017533605.1_ASM1753360v1.fna,190_0,0.050000000000000044,average,fastANI,190
Xie_et_al_GCA_017545505.1_ASM1754550v1.fna,191_0,0.050000000000000044,average,fastANI,191
Xie_et_al_GCA_017405485.1_ASM1740548v1.fna,192_0,0.050000000000000044,average,fastANI,192
Xie_et_al_GCA_017460165.1_ASM1746016v1.fna,193_0,0.050000000000000044,average,fastANI,193
Xie_et_al_GCA_017511305.1_ASM1751130v1.fna,194_0,0.050000000000000044,average,fastANI,194
Xie_et_al_GCA_017511925.1_ASM1751192v1.fna,195_1,0.050000000000000044,average,fastANI,195
Xie_et_al_GCA_017515005.1_ASM1751500v1.fna,195_2,0.050000000000000044,average,fastANI,195
Xie_et_al_GCA_017437945.1_ASM1743794v1.fna,196_0,0.050000000000000044,average,fastANI,196
Xie_et_al_GCA_017420225.1_ASM1742022v1.fna,197_1,0.050000000000000044,average,fastANI,197
Xie_et_al_GCA_017430725.1_ASM1743072v1.fna,197_1,0.050000000000000044,average,fastANI,197
Xie_et_al_GCA_017460065.1_ASM1746006v1.fna,198_0,0.050000000000000044,average,fastANI,198
Xie_et_al_GCA_017514975.1_ASM1751497v1.fna,199_0,0.050000000000000044,average,fastANI,199
Xie_et_al_GCA_017406985.1_ASM1740698v1.fna,200_0,0.050000000000000044,average,fastANI,200
Xie_et_al_GCA_017479205.1_ASM1747920v1.fna,201_0,0.050000000000000044,average,fastANI,201
Xie_et_al_GCA_017432305.1_ASM1743230v1.fna,202_0,0.050000000000000044,average,fastANI,202
Xie_et_al_GCA_017480035.1_ASM1748003v1.fna,203_0,0.050000000000000044,average,fastANI,203
Xie_et_al_GCA_017962335.1_ASM1796233v1.fna,204_0,0.050000000000000044,average,fastANI,204
Xie_et_al_GCA_017964445.1_ASM1796444v1.fna,205_0,0.050000000000000044,average,fastANI,205
Wilkinson_et_al_ERZ1461629_contig.fa,206_0,0.050000000000000044,average,fastANI,206
Stewart_et_al_GCA_902772825.1_RUG11809.fna,207_0,0.050000000000000044,average,fastANI,207
Xie_et_al_GCA_017618475.1_ASM1761847v1.fna,208_0,0.050000000000000044,average,fastANI,208
Xie_et_al_GCA_017619495.1_ASM1761949v1.fna,209_0,0.050000000000000044,average,fastANI,209
Xie_et_al_GCA_017473795.1_ASM1747379v1.fna,210_0,0.050000000000000044,average,fastANI,210
Xie_et_al_GCA_017623705.1_ASM1762370v1.fna,211_0,0.050000000000000044,average,fastANI,211
Xie_et_al_GCA_017537405.1_ASM1753740v1.fna,212_0,0.050000000000000044,average,fastANI,212
