Quality_assessment	SampleType	MAG_ID	n_contigs	contig_bp	ctg_N50	ctg_L50	gc_avg	Completeness	Contamination	quality_score
High-quality	Feces	fecal_MAG_194	80	2374100	14	51477	0.46492	86.86	0.37	85.01
High-quality	Feces	fecal_MAG_195	84	1976277	14	42484	0.38782	93.4	3.54	75.7
High-quality	Feces	fecal_MAG_196	95	1800847	21	30260	0.38846	94.41	0.67	91.06
High-quality	Feces	fecal_MAG_197	436	1532303	101	4393	0.41344	94.91	8.2	53.91
High-quality	Feces	fecal_MAG_198	56	2056293	9	63701	0.51043	96.15	3.14	80.45
High-quality	Feces	fecal_MAG_199	94	1767996	12	40421	0.54442	89.02	4.42	66.92
High-quality	Feces	fecal_MAG_2	20	2420689	3	341597	0.41407	96.79	0.75	93.04
High-quality	Feces	fecal_MAG_20	184	1467742	40	11213	0.34903	87.92	2.51	75.37
High-quality	Feces	fecal_MAG_200	218	3864318	27	42037	0.38090	88.59	5.37	61.74
High-quality	Feces	fecal_MAG_201	89	2201109	19	36050	0.55896	83.84	4.48	61.44
High-quality	Feces	fecal_MAG_202	169	2003196	38	18317	0.51041	92.32	1.47	84.97
High-quality	Feces	fecal_MAG_203	424	2335461	76	8633	0.50675	99.54	4.47	77.19
High-quality	Feces	fecal_MAG_204	50	2117275	7	95263	0.46155	98.08	0.48	95.68
High-quality	Feces	fecal_MAG_205	178	2237958	39	16609	0.51124	81.58	1.72	72.98
High-quality	Feces	fecal_MAG_206	65	2197149	14	52609	0.35075	97.09	0.34	95.39
High-quality	Feces	fecal_MAG_207	29	1060280	6	59207	0.34124	89.33	5.06	64.03
High-quality	Feces	fecal_MAG_208	83	2010853	15	37038	0.57617	96.64	0.67	93.29
High-quality	Feces	fecal_MAG_209	61	2334657	10	78877	0.48509	89.5	0.0	89.5
High-quality	Feces	fecal_MAG_21	103	1759807	18	30814	0.50576	97.03	4.38	75.13
High-quality	Feces	fecal_MAG_210	221	4060106	34	36701	0.37974	94.83	7.65	56.58
High-quality	Feces	fecal_MAG_211	122	2121523	24	30004	0.39406	88.83	0.13	88.18
High-quality	Feces	fecal_MAG_212	239	1894143	54	10560	0.58766	87.72	4.5	65.22
High-quality	Feces	fecal_MAG_213	805	3668103	178	5670	0.52444	83.95	1.9	74.45
High-quality	Feces	fecal_MAG_214	356	2426328	74	9249	0.47638	94.02	6.01	63.97
High-quality	Feces	fecal_MAG_215	257	2574746	41	17233	0.47702	93.72	2.81	79.67
High-quality	Feces	fecal_MAG_216	134	1805144	28	21944	0.34989	91.2	1.6	83.2
High-quality	Feces	fecal_MAG_217	203	2058703	37	14774	0.48230	94.61	1.03	89.46
High-quality	Feces	fecal_MAG_218	140	2103806	22	25140	0.28071	96.0	1.33	89.35
High-quality	Feces	fecal_MAG_219	57	2231763	11	69746	0.33045	91.95	0.34	90.25
High-quality	Feces	fecal_MAG_22	682	1610718	197	2679	0.36060	83.03	1.41	75.98
High-quality	Feces	fecal_MAG_220	156	1637735	32	15867	0.44724	91.02	7.72	52.42
High-quality	Feces	fecal_MAG_221	597	3052421	135	6253	0.62139	87.47	4.09	67.02
High-quality	Feces	fecal_MAG_222	309	1940136	55	9844	0.49354	93.35	4.8	69.35
High-quality	Feces	fecal_MAG_223	30	1852377	8	104297	0.48995	99.04	0.24	97.84
High-quality	Feces	fecal_MAG_224	65	2627057	12	83209	0.46372	84.38	0.95	79.63
High-quality	Feces	fecal_MAG_225	69	1755823	6	80669	0.28649	81.74	5.62	53.64
High-quality	Feces	fecal_MAG_226	108	2348832	25	30773	0.59032	90.21	4.38	68.31
High-quality	Feces	fecal_MAG_227	352	1676351	94	5486	0.35975	82.96	1.18	77.06
High-quality	Feces	fecal_MAG_228	14	1915213	4	218995	0.48718	93.75	0.0	93.75
High-quality	Feces	fecal_MAG_229	217	2453639	37	18137	0.36881	98.79	0.0	98.79
High-quality	Feces	fecal_MAG_23	618	2501146	141	5258	0.41435	83.34	3.18	67.44
High-quality	Feces	fecal_MAG_230	65	2540588	15	59190	0.56938	93.2	0.0	93.2
High-quality	Feces	fecal_MAG_231	253	2044529	35	19844	0.42036	92.12	2.82	78.02
High-quality	Feces	fecal_MAG_232	133	2467939	21	37102	0.37621	89.93	6.71	56.38
High-quality	Feces	fecal_MAG_233	68	2157830	10	70123	0.36877	96.85	1.4	89.85
High-quality	Feces	fecal_MAG_234	319	1597943	89	5746	0.34917	81.29	2.4	69.29
High-quality	Feces	fecal_MAG_235	24	2391047	5	162205	0.45978	92.55	1.51	85
High-quality	Feces	fecal_MAG_236	68	2099040	12	58043	0.47052	87.59	1.35	80.84
High-quality	Feces	fecal_MAG_237	514	1730994	137	3783	0.43657	81.18	0.96	76.38
High-quality	Feces	fecal_MAG_238	574	1855511	129	4143	0.51469	84.05	0.93	79.4
High-quality	Feces	fecal_MAG_239	245	1546978	49	9134	0.36268	81.73	3.38	64.83
High-quality	Feces	fecal_MAG_24	129	1525522	30	15289	0.44343	94.41	0.67	91.06
High-quality	Feces	fecal_MAG_240	142	2769707	15	57789	0.35076	98.66	3.28	82.26
High-quality	Feces	fecal_MAG_241	29	2161610	4	220041	0.44515	97.04	1.61	88.99
High-quality	Feces	fecal_MAG_242	138	1704257	33	15959	0.51933	91.39	1.28	84.99
High-quality	Feces	fecal_MAG_243	406	2152816	99	6486	0.41702	89.89	3.03	74.74
High-quality	Feces	fecal_MAG_244	448	1255113	117	3332	0.52973	83.85	4.02	63.75
High-quality	Feces	fecal_MAG_245	277	2346721	57	12028	0.42841	95.71	2.24	84.51
High-quality	Feces	fecal_MAG_246	190	2763240	34	23876	0.46159	89.27	1.3	82.77
High-quality	Feces	fecal_MAG_247	22	2125360	5	162683	0.44368	95.16	1.08	89.76
High-quality	Feces	fecal_MAG_248	284	2149302	57	11636	0.42261	91.72	6.51	59.17
High-quality	Feces	fecal_MAG_249	358	4418729	44	28277	0.38294	98.73	0.0	98.73
High-quality	Feces	fecal_MAG_25	151	2863322	19	46881	0.48841	91.52	6.43	59.37
High-quality	Feces	fecal_MAG_250	31	2100956	5	138516	0.48395	98.08	0.0	98.08
High-quality	Feces	fecal_MAG_251	55	2445680	7	126881	0.50163	93.84	1.38	86.94
High-quality	Feces	fecal_MAG_252	279	2920646	29	28389	0.40734	93.23	2.59	80.28
High-quality	Feces	fecal_MAG_253	85	2702129	9	71461	0.51552	93.2	0.0	93.2
High-quality	Feces	fecal_MAG_254	27	1952892	4	196786	0.51229	99.04	0.0	99.04
High-quality	Feces	fecal_MAG_255	108	1877913	19	30229	0.38222	89.92	4.1	69.42
High-quality	Feces	fecal_MAG_256	200	1936923	40	16134	0.51393	93.31	4.98	68.41
High-quality	Feces	fecal_MAG_257	189	4056954	30	36630	0.49448	99.05	2.22	87.95
High-quality	Feces	fecal_MAG_258	311	1973868	65	8326	0.35748	86.78	6.67	53.43
High-quality	Feces	fecal_MAG_259	643	2339396	168	4463	0.58321	87.25	3.54	69.55
High-quality	Feces	fecal_MAG_26	240	4647618	31	44393	0.50967	98.6	8.19	57.65
High-quality	Feces	fecal_MAG_260	602	1928125	151	3804	0.57894	85.91	5.23	59.76
High-quality	Feces	fecal_MAG_261	415	2302657	95	6817	0.46629	92.6	2.77	78.75
High-quality	Feces	fecal_MAG_262	68	2338970	11	58733	0.48276	94.6	0.74	90.9
High-quality	Feces	fecal_MAG_263	47	2280358	9	90587	0.50322	89.5	0.93	84.85
High-quality	Feces	fecal_MAG_264	134	2594035	28	26780	0.46871	92.91	0.62	89.81
High-quality	Feces	fecal_MAG_265	136	2281879	30	24057	0.43262	89.79	1.53	82.14
High-quality	Feces	fecal_MAG_266	90	1745532	18	33214	0.52791	92.3	1.03	87.15
High-quality	Feces	fecal_MAG_267	406	2036664	91	6745	0.36322	96.18	2.65	82.93
High-quality	Feces	fecal_MAG_268	56	2418155	7	123457	0.50035	94.21	1.49	86.76
High-quality	Feces	fecal_MAG_269	91	2117397	17	41063	0.37388	83.16	2.38	71.26
High-quality	Feces	fecal_MAG_27	124	2757321	15	51380	0.41737	98.43	1.01	93.38
High-quality	Feces	fecal_MAG_270	179	1855420	35	16605	0.52185	93.74	4.36	71.94
High-quality	Feces	fecal_MAG_271	146	2130336	28	26864	0.36314	82.36	2.41	70.31
High-quality	Feces	fecal_MAG_272	346	1746355	92	5819	0.39331	82.65	2.46	70.35
High-quality	Feces	fecal_MAG_273	42	1502677	11	45071	0.51750	94.35	0.91	89.8
High-quality	Feces	fecal_MAG_274	231	2119204	49	12078	0.35735	96.44	2.16	85.64
High-quality	Feces	fecal_MAG_275	607	1943097	155	3889	0.44423	83.21	2.98	68.31
High-quality	Feces	fecal_MAG_276	52	2270361	8	104172	0.48222	98.08	0.52	95.48
High-quality	Feces	fecal_MAG_277	290	4052218	37	37243	0.44936	98.28	3.84	79.08
High-quality	Feces	fecal_MAG_278	187	2447841	34	20012	0.45101	94.63	1.74	85.93
High-quality	Feces	fecal_MAG_279	379	2016472	88	5998	0.35890	85.29	3.48	67.89
High-quality	Feces	fecal_MAG_28	279	3592938	34	35468	0.38404	93.58	3.02	78.48
High-quality	Feces	fecal_MAG_280	228	4221957	38	32559	0.44486	95.11	5.54	67.41
High-quality	Feces	fecal_MAG_281	82	2300009	19	43914	0.39413	90.6	0.67	87.25
High-quality	Feces	fecal_MAG_282	73	2347902	15	43440	0.47921	91.62	1.17	85.77
High-quality	Feces	fecal_MAG_283	176	2296127	34	19084	0.47244	92.38	3.25	76.13
High-quality	Feces	fecal_MAG_284	61	2021445	14	46528	0.46622	97.6	0.67	94.25
High-quality	Feces	fecal_MAG_285	205	2568801	50	17178	0.51354	94.77	0.31	93.22
High-quality	Feces	fecal_MAG_286	154	3167668	26	34902	0.49712	97.07	0.62	93.97
High-quality	Feces	fecal_MAG_287	205	2326873	25	24409	0.26912	98.67	0.0	98.67
High-quality	Feces	fecal_MAG_288	67	2062189	10	78328	0.45486	97.39	1.2	91.39
High-quality	Feces	fecal_MAG_289	138	2347509	19	32605	0.54835	94.7	2.53	82.05
High-quality	Feces	fecal_MAG_29	113	2163654	20	31415	0.39130	95.26	2.91	80.71
High-quality	Feces	fecal_MAG_290	38	2101825	7	94317	0.40182	95.3	2.24	84.1
High-quality	Feces	fecal_MAG_291	222	1984344	51	11758	0.57942	84.01	1.36	77.21
High-quality	Feces	fecal_MAG_292	213	2465180	36	18912	0.46651	94.11	2.73	80.46
High-quality	Feces	fecal_MAG_293	58	2689467	9	86615	0.35954	98.85	1.11	93.3
High-quality	Feces	fecal_MAG_294	28	1833866	5	100826	0.39066	95.3	0.0	95.3
High-quality	Feces	fecal_MAG_295	36	2437614	8	101124	0.50133	96.07	0.37	94.22
High-quality	Feces	fecal_MAG_296	121	2826717	13	53884	0.36014	98.07	1.39	91.12
High-quality	Feces	fecal_MAG_297	134	1659221	27	18412	0.53722	86.02	1.23	79.87
High-quality	Feces	fecal_MAG_298	316	2087560	70	9535	0.40910	92.14	2.07	81.79
High-quality	Feces	fecal_MAG_299	453	1676782	115	4725	0.51448	85.52	3.94	65.82
High-quality	Feces	fecal_MAG_3	277	2160133	55	11346	0.32835	99.2	3.47	81.85
High-quality	Feces	fecal_MAG_30	77	3479386	12	90557	0.49375	94.15	0.0	94.15
High-quality	Feces	fecal_MAG_300	502	2842573	140	6923	0.54358	84.88	6.69	51.43
High-quality	Feces	fecal_MAG_301	253	3324794	48	20443	0.45699	97.63	2.72	84.03
High-quality	Feces	fecal_MAG_302	50	2108598	7	106314	0.44359	96.51	1.34	89.81
High-quality	Feces	fecal_MAG_303	189	2188589	24	23353	0.52138	98.31	4.15	77.56
High-quality	Feces	fecal_MAG_304	44	2058592	7	123941	0.50834	99.04	0.24	97.84
High-quality	Feces	fecal_MAG_305	216	4187892	17	91016	0.40799	99.76	7.82	60.66
High-quality	Feces	fecal_MAG_306	119	2224114	26	27237	0.50751	99.66	1.4	92.66
High-quality	Feces	fecal_MAG_307	58	2151085	8	91606	0.43809	80.98	1.34	74.28
High-quality	Feces	fecal_MAG_308	54	1965260	12	62129	0.45543	88.78	7.62	50.68
High-quality	Feces	fecal_MAG_309	218	1599649	53	9475	0.32758	80.31	3.84	61.11
High-quality	Feces	fecal_MAG_31	74	2484243	16	54102	0.36490	97.99	0.67	94.64
High-quality	Feces	fecal_MAG_310	47	2044322	11	58484	0.44084	91.76	4.84	67.56
High-quality	Feces	fecal_MAG_311	123	1543708	27	18669	0.44733	84.88	2.69	71.43
High-quality	Feces	fecal_MAG_312	564	1993293	136	4410	0.44451	84.86	2.3	73.36
High-quality	Feces	fecal_MAG_313	73	2701649	10	86917	0.47600	92.0	2.83	77.85
High-quality	Feces	fecal_MAG_314	30	2089426	5	139614	0.47173	97.9	2.55	85.15
High-quality	Feces	fecal_MAG_315	139	2400716	31	25249	0.50510	98.9	2.73	85.25
High-quality	Feces	fecal_MAG_316	51	2151156	11	64577	0.57128	97.99	0.67	94.64
High-quality	Feces	fecal_MAG_317	81	2679986	15	61613	0.40326	98.52	0.0	98.52
High-quality	Feces	fecal_MAG_318	267	3041970	55	17610	0.59358	93.59	1.68	85.19
High-quality	Feces	fecal_MAG_319	125	1996126	24	25140	0.42551	94.04	2.2	83.04
High-quality	Feces	fecal_MAG_32	228	1199479	60	6595	0.41420	82.39	2.74	68.69
High-quality	Feces	fecal_MAG_320	229	2617470	16	38941	0.28343	82.67	1.44	75.47
High-quality	Feces	fecal_MAG_321	155	1784819	25	18982	0.42316	92.51	7.55	54.76
High-quality	Feces	fecal_MAG_322	82	1785765	21	26121	0.40419	97.29	4.39	75.34
High-quality	Feces	fecal_MAG_323	482	1734739	118	4505	0.36514	92.95	6.03	62.8
High-quality	Feces	fecal_MAG_324	368	1197706	87	4111	0.46320	80.83	0.07	80.48
High-quality	Feces	fecal_MAG_325	508	1998376	120	5030	0.45965	87.0	1.69	78.55
High-quality	Feces	fecal_MAG_326	170	1940776	20	26658	0.44305	92.96	3.75	74.21
High-quality	Feces	fecal_MAG_327	77	1987023	19	36604	0.36624	92.17	0.13	91.52
High-quality	Feces	fecal_MAG_328	160	2169414	35	21421	0.41062	94.53	0.38	92.63
High-quality	Feces	fecal_MAG_329	133	2284173	27	26557	0.37437	99.19	1.12	93.59
High-quality	Feces	fecal_MAG_33	205	2667516	39	19379	0.38470	92.88	1.7	84.38
High-quality	Feces	fecal_MAG_330	330	3448881	81	14605	0.51458	91.38	3.75	72.63
High-quality	Feces	fecal_MAG_331	46	1845764	9	80354	0.49705	94.44	3.4	77.44
High-quality	Feces	fecal_MAG_332	274	1725443	70	7595	0.38638	82.02	1.29	75.57
High-quality	Feces	fecal_MAG_333	81	2382293	16	40832	0.51954	96.64	0.67	93.29
High-quality	Feces	fecal_MAG_334	182	1578100	45	11219	0.41005	96.39	7.5	58.89
High-quality	Feces	fecal_MAG_335	197	1830119	40	13092	0.46582	93.6	1.01	88.55
High-quality	Feces	fecal_MAG_336	106	2206038	15	37681	0.35326	93.79	0.59	90.84
High-quality	Feces	fecal_MAG_337	156	2842961	22	38615	0.44169	93.57	1.41	86.52
High-quality	Feces	fecal_MAG_338	36	1684279	3	208778	0.48030	98.33	0.0	98.33
High-quality	Feces	fecal_MAG_339	205	1981436	47	13602	0.54530	93.8	2.21	82.75
High-quality	Feces	fecal_MAG_34	294	1591993	66	6948	0.32260	83.64	2.0	73.64
High-quality	Feces	fecal_MAG_340	130	2007810	22	27312	0.52905	85.18	2.92	70.58
High-quality	Feces	fecal_MAG_341	118	2446778	27	30577	0.32926	96.09	1.89	86.64
High-quality	Feces	fecal_MAG_342	220	2807268	42	20515	0.49087	98.43	2.35	86.68
High-quality	Feces	fecal_MAG_343	46	2299977	4	134156	0.50390	93.46	1.49	86.01
High-quality	Feces	fecal_MAG_344	33	1863558	6	96282	0.51392	94.71	0.03	94.56
High-quality	Feces	fecal_MAG_345	271	1941327	53	10288	0.35858	88.5	3.14	72.8
High-quality	Feces	fecal_MAG_346	137	2401398	22	34746	0.46961	80.06	0.67	76.71
High-quality	Feces	fecal_MAG_347	88	2426199	17	38516	0.52892	90.82	1.08	85.42
High-quality	Feces	fecal_MAG_348	150	3000548	16	52915	0.36002	95.65	3.21	79.6
High-quality	Feces	fecal_MAG_349	47	1749286	9	67650	0.51663	93.45	0.48	91.05
High-quality	Feces	fecal_MAG_35	389	1722189	75	6234	0.51703	89.02	2.16	78.22
High-quality	Feces	fecal_MAG_350	211	1305174	45	7767	0.41162	80.05	4.24	58.85
High-quality	Feces	fecal_MAG_351	304	1587524	68	7279	0.44425	92.06	1.94	82.36
High-quality	Feces	fecal_MAG_352	234	2252170	44	16327	0.50604	93.15	0.81	89.1
High-quality	Feces	fecal_MAG_353	129	3945890	12	124565	0.38122	98.31	4.74	74.61
High-quality	Feces	fecal_MAG_354	170	2961004	22	42359	0.47790	95.25	1.64	87.05
High-quality	Feces	fecal_MAG_355	271	2358918	52	13809	0.56136	88.26	5.59	60.31
High-quality	Feces	fecal_MAG_356	23	1939494	5	152309	0.48769	99.04	3.57	81.19
High-quality	Feces	fecal_MAG_357	55	1662257	12	49420	0.52121	95.34	0.0	95.34
High-quality	Feces	fecal_MAG_358	26	2507986	7	144635	0.55348	93.2	0.23	92.05
High-quality	Feces	fecal_MAG_359	218	2053645	45	13692	0.42086	94.52	1.93	84.87
High-quality	Feces	fecal_MAG_36	62	2379578	10	79727	0.43793	95.97	3.23	79.82
High-quality	Feces	fecal_MAG_360	186	2247567	34	23151	0.44270	95.57	0.5	93.07
High-quality	Feces	fecal_MAG_361	519	2087681	138	4716	0.44715	90.24	7.58	52.34
High-quality	Feces	fecal_MAG_362	192	2272015	37	16904	0.55882	89.16	3.32	72.56
High-quality	Feces	fecal_MAG_363	193	3440404	22	46534	0.48062	94.92	3.28	78.52
High-quality	Feces	fecal_MAG_364	309	1970055	68	8953	0.42990	87.01	1.34	80.31
