Quality_assessment	SampleType	MAG_ID	n_contigs	Total_length	L50	N50	Largest_contig	Average_GC	Completeness	Contamination	Quality_score	Genome_Coverage
High-quality	Feces	fecal_MAG_121	268	1397053	65	6797	18016	0.4569	86.52	3.37	69.67	9x
High-quality	Feces	fecal_MAG_122	83	2338220	16	49996	132376	0.41417	96.23	1.32	89.63	11x
High-quality	Feces	fecal_MAG_123	403	1403439	91	4524	17142	0.52101	87.8	1.31	81.25	4x
High-quality	Feces	fecal_MAG_124	377	2533719	101	8279	33768	0.37479	84.67	4.27	63.32	9x
High-quality	Feces	fecal_MAG_125	125	2115566	22	30187	91345	0.45616	99.4	1.5	91.9	9x
High-quality	Feces	fecal_MAG_126	175	1948081	29	17515	69681	0.46147	93.17	0.13	92.52	10x
High-quality	Feces	fecal_MAG_127	378	2840152	90	10022	34910	0.51966	83.41	3.47	66.06	9x
High-quality	Feces	fecal_MAG_128	84	2119516	17	32902	199932	0.45712	96.07	0.96	91.27	12x
High-quality	Feces	fecal_MAG_129	102	3091764	15	67274	187726	0.37819	97.99	1.34	91.29	23x
High-quality	Feces	fecal_MAG_13	608	2153951	160	4195	24356	0.47933	83.91	2.57	71.06	5x
High-quality	Feces	fecal_MAG_130	34	1399425	5	89566	229044	0.29273	94.38	2.81	80.33	17x
High-quality	Feces	fecal_MAG_131	143	3019833	33	28395	99059	0.48607	92.88	1.52	85.28	11x
High-quality	Feces	fecal_MAG_132	80	2632189	7	127703	267971	0.47176	89.9	2.49	77.45	117x
High-quality	Feces	fecal_MAG_133	90	1623799	15	40517	95105	0.39007	96.15	0	96.15	38x
High-quality	Feces	fecal_MAG_134	153	2603048	15	34539	199878	0.47441	90.16	2.01	80.11	24x
High-quality	Feces	fecal_MAG_135	199	3075980	25	37113	119691	0.38777	98.58	2.11	88.03	24x
High-quality	Feces	fecal_MAG_136	141	2780246	19	43814	123703	0.43249	91.51	7.78	52.61	24x
High-quality	Feces	fecal_MAG_137	210	2233985	37	18976	87630	0.35716	99.67	3.14	83.97	7x
High-quality	Feces	fecal_MAG_138	124	2174497	17	41942	133110	0.46208	90	4	70	13x
High-quality	Feces	fecal_MAG_139	78	2008013	15	48587	103823	0.44281	89.13	0.4	87.13	12x
High-quality	Feces	fecal_MAG_14	832	2405967	232	3344	15362	0.56933	82.37	4.68	58.97	4x
High-quality	Feces	fecal_MAG_140	556	1995622	126	4597	25141	0.51428	94.33	0.68	90.93	2x
High-quality	Feces	fecal_MAG_141	231	3108287	43	22994	101583	0.45801	95.27	1.14	89.57	24x
High-quality	Feces	fecal_MAG_142	153	2850667	25	37073	153850	0.41861	96.26	1.69	87.81	17x
High-quality	Feces	fecal_MAG_143	186	2049503	40	15374	62020	0.48007	87.14	1.83	77.99	15x
High-quality	Feces	fecal_MAG_144	62	1851360	15	40756	109986	0.53768	91.28	0	91.28	18x
High-quality	Feces	fecal_MAG_145	112	2998067	22	49325	129993	0.58647	93.96	2.01	83.91	24x
High-quality	Feces	fecal_MAG_146	44	2392626	9	88792	212924	0.40876	98.68	0.09	98.23	11x
High-quality	Feces	fecal_MAG_147	184	1653160	40	12056	69215	0.48147	87.9	0.32	86.3	10x
High-quality	Feces	fecal_MAG_148	63	1830971	14	39466	114262	0.63519	97.07	0	97.07	56x
High-quality	Feces	fecal_MAG_149	148	1865540	30	18112	64686	0.51457	96.63	0.03	96.48	8x
High-quality	Feces	fecal_MAG_15	183	2070685	28	20230	88029	0.45314	92.74	1.43	85.59	11x
High-quality	Feces	fecal_MAG_150	717	1672006	205	2577	11391	0.40617	81.41	2.07	71.06	3x
High-quality	Feces	fecal_MAG_151	127	2555615	18	45706	169853	0.2731	96	2.67	82.65	51x
High-quality	Feces	fecal_MAG_152	80	2182867	13	59941	146752	0.50254	96.88	0	96.88	25x
High-quality	Feces	fecal_MAG_153	355	2286788	71	9086	52761	0.44568	91.19	4.28	69.79	7x
High-quality	Feces	fecal_MAG_154	96	2437132	15	45954	213035	0.46789	82.51	2.54	69.81	27x
High-quality	Feces	fecal_MAG_155	359	1739463	92	5812	26383	0.3605	88.2	3.68	69.8	2x
High-quality	Feces	fecal_MAG_156	100	3146735	19	59363	153750	0.45002	96.96	1.35	90.21	23x
High-quality	Feces	fecal_MAG_157	48	2445782	9	91589	295546	0.47844	92.18	1.32	85.58	33x
High-quality	Feces	fecal_MAG_158	164	2883266	14	47144	222846	0.33031	100	0	100	19x
High-quality	Feces	fecal_MAG_159	48	1502133	6	105952	169788	0.4544	85.08	4.44	62.88	19x
High-quality	Feces	fecal_MAG_16	93	2111624	20	30779	122469	0.39075	86.78	0.38	84.88	12x
High-quality	Feces	fecal_MAG_160	403	2401702	75	9470	39505	0.4674	86.47	2.56	73.67	9x
High-quality	Feces	fecal_MAG_161	58	2802664	11	100436	213462	0.46654	92.86	1.05	87.61	20x
High-quality	Feces	fecal_MAG_162	134	2104193	20	29499	111129	0.27456	88	2	78	12x
High-quality	Feces	fecal_MAG_163	71	2605226	16	53508	142404	0.44154	98.1	1.58	90.2	31x
High-quality	Feces	fecal_MAG_164	492	1726854	117	4517	25906	0.51866	92	4.75	68.25	2x
High-quality	Feces	fecal_MAG_165	49	2149649	12	66072	149089	0.44086	95.56	3.41	78.51	39x
High-quality	Feces	fecal_MAG_166	95	2139943	20	33655	93328	0.48364	93.06	0.89	88.61	14x
High-quality	Feces	fecal_MAG_167	128	2053858	22	26746	106723	0.36085	96.86	0.29	95.41	9x
High-quality	Feces	fecal_MAG_168	468	2972154	101	8744	41857	0.42422	86.02	3.9	66.52	14x
High-quality	Feces	fecal_MAG_169	223	1380302	53	8603	37754	0.46469	87.06	2.82	72.96	9x
High-quality	Feces	fecal_MAG_17	153	1850036	35	18419	68471	0.40534	90.79	1.21	84.74	9x
High-quality	Feces	fecal_MAG_170	25	1536422	3	247653	286812	0.44634	98.41	0.06	98.11	24x
High-quality	Feces	fecal_MAG_171	363	1414640	94	4765	18326	0.44865	81.22	3.75	62.47	4x
High-quality	Feces	fecal_MAG_172	570	1712128	143	3558	37851	0.51646	82.21	2.7	68.71	4x
High-quality	Feces	fecal_MAG_173	218	2083745	36	14207	64967	0.49527	95.67	1.5	88.17	10x
High-quality	Feces	fecal_MAG_174	457	2103144	112	5456	26350	0.36535	90.93	1.28	84.53	8x
High-quality	Feces	fecal_MAG_175	536	1842114	148	3992	13703	0.48274	80.88	4.25	59.63	5x
High-quality	Feces	fecal_MAG_176	18	2044233	3	288335	384718	0.54417	99.52	1.12	93.92	25x
High-quality	Feces	fecal_MAG_177	109	2744248	13	63742	223423	0.37084	86.69	0.92	82.09	14x
High-quality	Feces	fecal_MAG_178	80	2461642	17	50437	125098	0.41066	98.68	0.19	97.73	10x
High-quality	Feces	fecal_MAG_179	267	1334580	77	5715	16909	0.41355	83.85	3.22	67.75	4x
High-quality	Feces	fecal_MAG_18	91	1771550	18	29479	104360	0.4673	92.39	2.03	82.24	20x
High-quality	Feces	fecal_MAG_180	78	2076645	13	43027	134759	0.34069	97.18	1.01	92.13	39x
High-quality	Feces	fecal_MAG_181	203	3102521	20	39374	197773	0.29502	96.77	2.56	83.97	22x
High-quality	Feces	fecal_MAG_182	354	1544129	81	5746	32045	0.44386	88.85	4.7	65.35	9x
High-quality	Feces	fecal_MAG_183	718	3448766	168	5858	39175	0.45328	94.69	7.32	58.09	9x
High-quality	Feces	fecal_MAG_184	499	1564991	134	3900	22157	0.49361	85.5	2.64	72.3	6x
High-quality	Feces	fecal_MAG_185	308	1434859	71	6205	25626	0.51307	92.62	4.22	71.52	9x
High-quality	Feces	fecal_MAG_186	211	1463700	44	9418	50720	0.44804	91.4	1.14	85.7	7x
High-quality	Feces	fecal_MAG_187	166	1869634	35	16832	57289	0.31821	86.55	1.49	79.1	10x
High-quality	Feces	fecal_MAG_188	220	2041144	43	13496	114879	0.35666	96.44	0	96.44	6x
High-quality	Feces	fecal_MAG_189	51	2360758	11	75311	166152	0.37788	98.39	0.02	98.29	12x
High-quality	Feces	fecal_MAG_19	193	1696205	49	10765	31109	0.48467	95.08	1.92	85.48	17x
High-quality	Feces	fecal_MAG_190	165	1646757	32	15601	50924	0.49448	88.07	2.68	74.67	11x
High-quality	Feces	fecal_MAG_191	60	1440439	11	36918	118204	0.25024	93.11	0.56	90.31	14x
High-quality	Feces	fecal_MAG_192	82	2861734	11	77375	346309	0.45163	95.65	2.94	80.95	46x
High-quality	Feces	fecal_MAG_193	35	1624607	8	60165	149936	0.47297	84.46	0.04	84.26	22x
High-quality	Feces	fecal_MAG_194	80	2374100	14	51477	275075	0.46492	86.86	0.37	85.01	97x
High-quality	Feces	fecal_MAG_195	84	1976277	14	42484	134496	0.38782	93.4	3.54	75.7	12x
High-quality	Feces	fecal_MAG_196	95	1800847	21	30260	71598	0.38846	94.41	0.67	91.06	16x
High-quality	Feces	fecal_MAG_197	436	1532303	101	4393	17528	0.41344	94.91	8.2	53.91	2x
High-quality	Feces	fecal_MAG_198	56	2056293	9	63701	253879	0.51043	96.15	3.14	80.45	17x
High-quality	Feces	fecal_MAG_199	94	1767996	12	40421	192810	0.54442	89.02	4.42	66.92	24x
High-quality	Feces	fecal_MAG_2	20	2420689	3	341597	519209	0.41407	96.79	0.75	93.04	35x
High-quality	Feces	fecal_MAG_20	184	1467742	40	11213	49462	0.34903	87.92	2.51	75.37	10x
High-quality	Feces	fecal_MAG_200	218	3864318	27	42037	177885	0.3809	88.59	5.37	61.74	16x
High-quality	Feces	fecal_MAG_201	89	2201109	19	36050	149993	0.55896	83.84	4.48	61.44	51x
High-quality	Feces	fecal_MAG_202	169	2003196	38	18317	70875	0.51041	92.32	1.47	84.97	5x
High-quality	Feces	fecal_MAG_203	424	2335461	76	8633	40896	0.50675	99.54	4.47	77.19	3x
High-quality	Feces	fecal_MAG_204	50	2117275	7	95263	348727	0.46155	98.08	0.48	95.68	59x
High-quality	Feces	fecal_MAG_205	178	2237958	39	16609	78422	0.51124	81.58	1.72	72.98	10x
High-quality	Feces	fecal_MAG_206	65	2197149	14	52609	139339	0.35075	97.09	0.34	95.39	17x
High-quality	Feces	fecal_MAG_207	29	1060280	6	59207	117312	0.34124	89.33	5.06	64.03	13x
High-quality	Feces	fecal_MAG_208	83	2010853	15	37038	138370	0.57617	96.64	0.67	93.29	6x
High-quality	Feces	fecal_MAG_209	61	2334657	10	78877	192445	0.48509	89.5	0	89.5	29x
High-quality	Feces	fecal_MAG_21	103	1759807	18	30814	85800	0.50576	97.03	4.38	75.13	13x
High-quality	Feces	fecal_MAG_210	221	4060106	34	36701	174388	0.37974	94.83	7.65	56.58	15x
High-quality	Feces	fecal_MAG_211	122	2121523	24	30004	84529	0.39406	88.83	0.13	88.18	15x
High-quality	Feces	fecal_MAG_212	239	1894143	54	10560	43111	0.58766	87.72	4.5	65.22	9x
High-quality	Feces	fecal_MAG_213	805	3668103	178	5670	42482	0.52444	83.95	1.9	74.45	9x
High-quality	Feces	fecal_MAG_214	356	2426328	74	9249	43174	0.47638	94.02	6.01	63.97	14x
High-quality	Feces	fecal_MAG_215	257	2574746	41	17233	116050	0.47702	93.72	2.81	79.67	13x
High-quality	Feces	fecal_MAG_216	134	1805144	28	21944	61310	0.34989	91.2	1.6	83.2	15x
High-quality	Feces	fecal_MAG_217	203	2058703	37	14774	75914	0.4823	94.61	1.03	89.46	8x
High-quality	Feces	fecal_MAG_218	140	2103806	22	25140	176060	0.28071	96	1.33	89.35	32x
High-quality	Feces	fecal_MAG_219	57	2231763	11	69746	149127	0.33045	91.95	0.34	90.25	13x
High-quality	Feces	fecal_MAG_22	682	1610718	197	2679	11182	0.3606	83.03	1.41	75.98	2x
High-quality	Feces	fecal_MAG_220	156	1637735	32	15867	82830	0.44724	91.02	7.72	52.42	17x
High-quality	Feces	fecal_MAG_221	597	3052421	135	6253	40819	0.62139	87.47	4.09	67.02	9x
High-quality	Feces	fecal_MAG_222	309	1940136	55	9844	45346	0.49354	93.35	4.8	69.35	9x
High-quality	Feces	fecal_MAG_223	30	1852377	8	104297	175712	0.48995	99.04	0.24	97.84	9x
High-quality	Feces	fecal_MAG_224	65	2627057	12	83209	152352	0.46372	84.38	0.95	79.63	16x
High-quality	Feces	fecal_MAG_225	69	1755823	6	80669	360293	0.28649	81.74	5.62	53.64	20x
High-quality	Feces	fecal_MAG_226	108	2348832	25	30773	83304	0.59032	90.21	4.38	68.31	46x
High-quality	Feces	fecal_MAG_227	352	1676351	94	5486	39616	0.35975	82.96	1.18	77.06	2x
High-quality	Feces	fecal_MAG_228	14	1915213	4	218995	292493	0.48718	93.75	0	93.75	16x
High-quality	Feces	fecal_MAG_229	217	2453639	37	18137	65760	0.36881	98.79	0	98.79	33x
High-quality	Feces	fecal_MAG_23	618	2501146	141	5258	30474	0.41435	83.34	3.18	67.44	8x
High-quality	Feces	fecal_MAG_230	65	2540588	15	59190	191649	0.56938	93.2	0	93.2	19x
High-quality	Feces	fecal_MAG_231	253	2044529	35	19844	72865	0.42036	92.12	2.82	78.02	13x
High-quality	Feces	fecal_MAG_232	133	2467939	21	37102	102811	0.37621	89.93	6.71	56.38	14x
High-quality	Feces	fecal_MAG_233	68	2157830	10	70123	189286	0.36877	96.85	1.4	89.85	16x
High-quality	Feces	fecal_MAG_234	319	1597943	89	5746	21852	0.34917	81.29	2.4	69.29	10x
High-quality	Feces	fecal_MAG_235	24	2391047	5	162205	366182	0.45978	92.55	1.51	85	23x
High-quality	Feces	fecal_MAG_236	68	2099040	12	58043	150669	0.47052	87.59	1.35	80.84	15x
High-quality	Feces	fecal_MAG_237	514	1730994	137	3783	33724	0.43657	81.18	0.96	76.38	8x
High-quality	Feces	fecal_MAG_238	574	1855511	129	4143	14599	0.51469	84.05	0.93	79.4	2x
High-quality	Feces	fecal_MAG_239	245	1546978	49	9134	32196	0.36268	81.73	3.38	64.83	7x
High-quality	Feces	fecal_MAG_24	129	1525522	30	15289	56424	0.44343	94.41	0.67	91.06	8x
High-quality	Feces	fecal_MAG_240	142	2769707	15	57789	215949	0.35076	98.66	3.28	82.26	52x
High-quality	Feces	fecal_MAG_241	29	2161610	4	220041	331575	0.44515	97.04	1.61	88.99	21x
High-quality	Feces	fecal_MAG_242	138	1704257	33	15959	58386	0.51933	91.39	1.28	84.99	12x
High-quality	Feces	fecal_MAG_243	406	2152816	99	6486	30866	0.41702	89.89	3.03	74.74	5x
High-quality	Feces	fecal_MAG_244	448	1255113	117	3332	15802	0.52973	83.85	4.02	63.75	4x
High-quality	Feces	fecal_MAG_245	277	2346721	57	12028	77607	0.42841	95.71	2.24	84.51	9x
High-quality	Feces	fecal_MAG_246	190	2763240	34	23876	102375	0.46159	89.27	1.3	82.77	13x
High-quality	Feces	fecal_MAG_247	22	2125360	5	162683	292707	0.44368	95.16	1.08	89.76	20x
High-quality	Feces	fecal_MAG_248	284	2149302	57	11636	42938	0.42261	91.72	6.51	59.17	6x
High-quality	Feces	fecal_MAG_249	358	4418729	44	28277	116049	0.38294	98.73	0	98.73	28x
High-quality	Feces	fecal_MAG_25	151	2863322	19	46881	132995	0.48841	91.52	6.43	59.37	88x
High-quality	Feces	fecal_MAG_250	31	2100956	5	138516	292170	0.48395	98.08	0	98.08	29x
High-quality	Feces	fecal_MAG_251	55	2445680	7	126881	271043	0.50163	93.84	1.38	86.94	21x
High-quality	Feces	fecal_MAG_252	279	2920646	29	28389	100958	0.40734	93.23	2.59	80.28	19x
High-quality	Feces	fecal_MAG_253	85	2702129	9	71461	329099	0.51552	93.2	0	93.2	19x
High-quality	Feces	fecal_MAG_254	27	1952892	4	196786	440830	0.51229	99.04	0	99.04	15x
High-quality	Feces	fecal_MAG_255	108	1877913	19	30229	83188	0.38222	89.92	4.1	69.42	13x
High-quality	Feces	fecal_MAG_256	200	1936923	40	16134	60537	0.51393	93.31	4.98	68.41	11x
High-quality	Feces	fecal_MAG_257	189	4056954	30	36630	216291	0.49448	99.05	2.22	87.95	14x
High-quality	Feces	fecal_MAG_258	311	1973868	65	8326	35140	0.35748	86.78	6.67	53.43	11x
High-quality	Feces	fecal_MAG_259	643	2339396	168	4463	37376	0.58321	87.25	3.54	69.55	5x
High-quality	Feces	fecal_MAG_26	240	4647618	31	44393	161581	0.50967	98.6	8.19	57.65	55x
High-quality	Feces	fecal_MAG_260	602	1928125	151	3804	23364	0.57894	85.91	5.23	59.76	2x
High-quality	Feces	fecal_MAG_261	415	2302657	95	6817	32631	0.46629	92.6	2.77	78.75	6x
High-quality	Feces	fecal_MAG_262	68	2338970	11	58733	315051	0.48276	94.6	0.74	90.9	16x
High-quality	Feces	fecal_MAG_263	47	2280358	9	90587	250510	0.50322	89.5	0.93	84.85	14x
High-quality	Feces	fecal_MAG_264	134	2594035	28	26780	126366	0.46871	92.91	0.62	89.81	13x
High-quality	Feces	fecal_MAG_265	136	2281879	30	24057	107037	0.43262	89.79	1.53	82.14	12x
High-quality	Feces	fecal_MAG_266	90	1745532	18	33214	98825	0.52791	92.3	1.03	87.15	21x
High-quality	Feces	fecal_MAG_267	406	2036664	91	6745	26656	0.36322	96.18	2.65	82.93	5x
High-quality	Feces	fecal_MAG_268	56	2418155	7	123457	308555	0.50035	94.21	1.49	86.76	15x
High-quality	Feces	fecal_MAG_269	91	2117397	17	41063	114054	0.37388	83.16	2.38	71.26	18x
High-quality	Feces	fecal_MAG_27	124	2757321	15	51380	154701	0.41737	98.43	1.01	93.38	16x
High-quality	Feces	fecal_MAG_270	179	1855420	35	16605	57419	0.52185	93.74	4.36	71.94	13x
High-quality	Feces	fecal_MAG_271	146	2130336	28	26864	70049	0.36314	82.36	2.41	70.31	9x
High-quality	Feces	fecal_MAG_272	346	1746355	92	5819	42551	0.39331	82.65	2.46	70.35	4x
High-quality	Feces	fecal_MAG_273	42	1502677	11	45071	133217	0.5175	94.35	0.91	89.8	9x
High-quality	Feces	fecal_MAG_274	231	2119204	49	12078	70596	0.35735	96.44	2.16	85.64	4x
High-quality	Feces	fecal_MAG_275	607	1943097	155	3889	18200	0.44423	83.21	2.98	68.31	4x
High-quality	Feces	fecal_MAG_276	52	2270361	8	104172	205185	0.48222	98.08	0.52	95.48	23x
High-quality	Feces	fecal_MAG_277	290	4052218	37	37243	105825	0.44936	98.28	3.84	79.08	13x
High-quality	Feces	fecal_MAG_278	187	2447841	34	20012	103265	0.45101	94.63	1.74	85.93	11x
High-quality	Feces	fecal_MAG_279	379	2016472	88	5998	26853	0.3589	85.29	3.48	67.89	2x
High-quality	Feces	fecal_MAG_28	279	3592938	34	35468	135915	0.38404	93.58	3.02	78.48	10x
High-quality	Feces	fecal_MAG_280	228	4221957	38	32559	107925	0.44486	95.11	5.54	67.41	17x
High-quality	Feces	fecal_MAG_281	82	2300009	19	43914	118610	0.39413	90.6	0.67	87.25	19x
High-quality	Feces	fecal_MAG_282	73	2347902	15	43440	153398	0.47921	91.62	1.17	85.77	16x
High-quality	Feces	fecal_MAG_283	176	2296127	34	19084	100833	0.47244	92.38	3.25	76.13	11x
High-quality	Feces	fecal_MAG_284	61	2021445	14	46528	107542	0.46622	97.6	0.67	94.25	14x
High-quality	Feces	fecal_MAG_285	205	2568801	50	17178	62021	0.51354	94.77	0.31	93.22	13x
High-quality	Feces	fecal_MAG_286	154	3167668	26	34902	114631	0.49712	97.07	0.62	93.97	36x
High-quality	Feces	fecal_MAG_287	205	2326873	25	24409	98559	0.26912	98.67	0	98.67	22x
High-quality	Feces	fecal_MAG_288	67	2062189	10	78328	164897	0.45486	97.39	1.2	91.39	12x
High-quality	Feces	fecal_MAG_289	138	2347509	19	32605	113986	0.54835	94.7	2.53	82.05	13x
High-quality	Feces	fecal_MAG_29	113	2163654	20	31415	105804	0.3913	95.26	2.91	80.71	40x
High-quality	Feces	fecal_MAG_290	38	2101825	7	94317	244755	0.40182	95.3	2.24	84.1	17x
High-quality	Feces	fecal_MAG_291	222	1984344	51	11758	40178	0.57942	84.01	1.36	77.21	9x
High-quality	Feces	fecal_MAG_292	213	2465180	36	18912	104286	0.46651	94.11	2.73	80.46	8x
High-quality	Feces	fecal_MAG_293	58	2689467	9	86615	259091	0.35954	98.85	1.11	93.3	80x
High-quality	Feces	fecal_MAG_294	28	1833866	5	100826	371401	0.39066	95.3	0	95.3	20x
High-quality	Feces	fecal_MAG_295	36	2437614	8	101124	230543	0.50133	96.07	0.37	94.22	21x
High-quality	Feces	fecal_MAG_296	121	2826717	13	53884	257853	0.36014	98.07	1.39	91.12	60x
High-quality	Feces	fecal_MAG_297	134	1659221	27	18412	82692	0.53722	86.02	1.23	79.87	11x
High-quality	Feces	fecal_MAG_298	316	2087560	70	9535	38847	0.4091	92.14	2.07	81.79	9x
High-quality	Feces	fecal_MAG_299	453	1676782	115	4725	18284	0.51448	85.52	3.94	65.82	4x
High-quality	Feces	fecal_MAG_3	277	2160133	55	11346	60505	0.32835	99.2	3.47	81.85	9x
High-quality	Feces	fecal_MAG_30	77	3479386	12	90557	251092	0.49375	94.15	0	94.15	27x
High-quality	Feces	fecal_MAG_300	502	2842573	140	6923	22663	0.54358	84.88	6.69	51.43	9x
High-quality	Feces	fecal_MAG_301	253	3324794	48	20443	82005	0.45699	97.63	2.72	84.03	12x
High-quality	Feces	fecal_MAG_302	50	2108598	7	106314	222195	0.44359	96.51	1.34	89.81	82x
High-quality	Feces	fecal_MAG_303	189	2188589	24	23353	132485	0.52138	98.31	4.15	77.56	82x
High-quality	Feces	fecal_MAG_304	44	2058592	7	123941	218025	0.50834	99.04	0.24	97.84	23x
High-quality	Feces	fecal_MAG_305	216	4187892	17	91016	208594	0.40799	99.76	7.82	60.66	19x
High-quality	Feces	fecal_MAG_306	119	2224114	26	27237	114263	0.50751	99.66	1.4	92.66	5x
High-quality	Feces	fecal_MAG_307	58	2151085	8	91606	272658	0.43809	80.98	1.34	74.28	17x
High-quality	Feces	fecal_MAG_308	54	1965260	12	62129	112067	0.45543	88.78	7.62	50.68	49x
High-quality	Feces	fecal_MAG_309	218	1599649	53	9475	47666	0.32758	80.31	3.84	61.11	9x
High-quality	Feces	fecal_MAG_31	74	2484243	16	54102	127607	0.3649	97.99	0.67	94.64	16x
High-quality	Feces	fecal_MAG_310	47	2044322	11	58484	208111	0.44084	91.76	4.84	67.56	57x
High-quality	Feces	fecal_MAG_311	123	1543708	27	18669	53088	0.44733	84.88	2.69	71.43	7x
High-quality	Feces	fecal_MAG_312	564	1993293	136	4410	19145	0.44451	84.86	2.3	73.36	6x
High-quality	Feces	fecal_MAG_313	73	2701649	10	86917	300955	0.476	92	2.83	77.85	162x
High-quality	Feces	fecal_MAG_314	30	2089426	5	139614	382504	0.47173	97.9	2.55	85.15	39x
High-quality	Feces	fecal_MAG_315	139	2400716	31	25249	74255	0.5051	98.9	2.73	85.25	8x
High-quality	Feces	fecal_MAG_316	51	2151156	11	64577	209508	0.57128	97.99	0.67	94.64	11x
High-quality	Feces	fecal_MAG_317	81	2679986	15	61613	164324	0.40326	98.52	0	98.52	11x
High-quality	Feces	fecal_MAG_318	267	3041970	55	17610	50876	0.59358	93.59	1.68	85.19	13x
High-quality	Feces	fecal_MAG_319	125	1996126	24	25140	131880	0.42551	94.04	2.2	83.04	12x
High-quality	Feces	fecal_MAG_32	228	1199479	60	6595	22656	0.4142	82.39	2.74	68.69	3x
High-quality	Feces	fecal_MAG_320	229	2617470	16	38941	264104	0.28343	82.67	1.44	75.47	17x
High-quality	Feces	fecal_MAG_321	155	1784819	25	18982	120142	0.42316	92.51	7.55	54.76	11x
High-quality	Feces	fecal_MAG_322	82	1785765	21	26121	76036	0.40419	97.29	4.39	75.34	8x
High-quality	Feces	fecal_MAG_323	482	1734739	118	4505	23361	0.36514	92.95	6.03	62.8	4x
High-quality	Feces	fecal_MAG_324	368	1197706	87	4111	16178	0.4632	80.83	0.07	80.48	7x
High-quality	Feces	fecal_MAG_325	508	1998376	120	5030	32582	0.45965	87	1.69	78.55	8x
High-quality	Feces	fecal_MAG_326	170	1940776	20	26658	145345	0.44305	92.96	3.75	74.21	19x
High-quality	Feces	fecal_MAG_327	77	1987023	19	36604	81047	0.36624	92.17	0.13	91.52	9x
High-quality	Feces	fecal_MAG_328	160	2169414	35	21421	50267	0.41062	94.53	0.38	92.63	5x
High-quality	Feces	fecal_MAG_329	133	2284173	27	26557	79570	0.37437	99.19	1.12	93.59	13x
High-quality	Feces	fecal_MAG_33	205	2667516	39	19379	112275	0.3847	92.88	1.7	84.38	18x
High-quality	Feces	fecal_MAG_330	330	3448881	81	14605	50232	0.51458	91.38	3.75	72.63	11x
High-quality	Feces	fecal_MAG_331	46	1845764	9	80354	154144	0.49705	94.44	3.4	77.44	66x
High-quality	Feces	fecal_MAG_332	274	1725443	70	7595	35665	0.38638	82.02	1.29	75.57	9x
High-quality	Feces	fecal_MAG_333	81	2382293	16	40832	184812	0.51954	96.64	0.67	93.29	16x
High-quality	Feces	fecal_MAG_334	182	1578100	45	11219	34399	0.41005	96.39	7.5	58.89	6x
